Clinic Name,Exact Item Name (Inventory),Fuzzy Item Name (Clinic-Requested),SKU ID,Season (Needed By),Frequency,Volume
Clinic 1,GEHA OPEN SEASON TOOTHBRUSH 2022,geha open season tootbrsh 2022,OS-11870-TBS22,Fall–Spring,Ongoing,62
Clinic 1,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe and vitamin e cornstarch powder 22oz,KEN-381371178650,Fall–Spring,Ongoing,48
Clinic 1,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe-and-vitamin-e-cornstarchpowder-22oz,KEN-381371178650,Fall–Spring,Ongoing,57
Clinic 1,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe-and-vitamin-e-cornstarch-pwder-22oz,KEN-381371178650,Fall–Spring,Ongoing,87
Clinic 1,GEHA OPEN SEASON TOOTHBRUSH 2022,geha  pen  season  tootbrush  2022,OS-11870-TBS22,Fall–Spring,Ongoing,57
Clinic 1,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe-and-vitamin-e-cornstarc-powder-22oz,KEN-381371178650,Fall–Spring,Ongoing,89
Clinic 1,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe and vitamin e cornstarch powde 22oz,KEN-381371178650,Fall–Spring,Ongoing,57
Clinic 1,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloeand  vitamin  e  cornstarch  powder  22oz,KEN-381371178650,Fall–Spring,Ongoing,62
Clinic 1,,travel soap set,,Fall–Spring,Ongoing,72
Clinic 1,GEHA OPEN SEASON TOOTHBRUSH 2022,geha open season toothbrush 2022,OS-11870-TBS22,Fall–Spring,Ongoing,32
Clinic 1,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe and vitamin e cornstarch powder 22oz,KEN-381371178650,Fall–Spring,Ongoing,79
Clinic 1,,tooth care bundle,,Fall–Spring,As Needed,53
Clinic 1,GEHA OPEN SEASON TOOTHBRUSH 2022,geha open season tootbrush 2022,OS-11870-TBS22,Fall–Spring,Ongoing,76
Clinic 1,GEHA OPEN SEASON TOOTHBRUSH 2022,geha openseason tothbrush 2022,OS-11870-TBS22,Fall–Spring,Ongoing,47
Clinic 1,,travel soap set,,Fall–Spring,Ongoing,89
Clinic 1,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe and vitamin e cornstarchpowder 22oz,KEN-381371178650,Fall–Spring,Ongoing,25
