Clinic Name,Exact Item Name (Inventory),Fuzzy Item Name (Clinic-Requested),SKU ID,Season (Needed By),Frequency,Volume
Clinic 1,,bulk soap set,,Winter–Spring,As Needed,36
Clinic 1,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe and vitamin e cornstarch powder 22oz,KEN-381371178650,Winter–Spring,As Needed,39
Clinic 1,,tooth care bundle,,Winter–Spring,As Needed,78
Clinic 1,GEHA OPEN SEASON TOOTHBRUSH 2022,geha open season tothbrush 2022,OS-11870-TBS22,Winter–Spring,Ongoing,70
Clinic 1,,community hygiene kit,,Winter–Spring,Ongoing,71
Clinic 1,GEHA OPEN SEASON TOOTHBRUSH 2022,geha open season tothbrsh 2022,OS-11870-TBS22,Winter–Spring,Ongoing,68
Clinic 1,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe and vitamin e cornstarch powder 22oz,KEN-381371178650,Winter–Spring,Ongoing,110
Clinic 1,GEHA OPEN SEASON TOOTHBRUSH 2022,geha open season toothbrsh 2022,OS-11870-TBS22,Winter–Spring,As Needed,67
Clinic 1,LIGHTWEIGHT FABRIC FACE COVER NOT A MEDICAL MASK SINGLE USE,lightweight fabric face cover not a medical maks single use,BC-ST323,Winter–Spring,As Needed,64
Clinic 1,LIGHTWEIGHT FABRIC FACE COVER NOT A MEDICAL MASK SINGLE USE,lightweight fabric face cover not a medical mask single use,BC-ST323,Winter–Spring,Ongoing,119
Clinic 1,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe and vitamin e cornstarch powder 22oz,KEN-381371178650,Winter–Spring,Ongoing,114
Clinic 1,TOOTHPASTE - INDIVIDUALLY BOXED,tothpste - individually boxed,DK-RTP27B,Winter–Spring,As Needed,59
Clinic 1,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe and vitamn e cornstarch powder 22oz,KEN-381371178650,Winter–Spring,Ongoing,115
Clinic 1,GEHA OPEN SEASON TOOTHBRUSH 2022,geha-open-season-tothbru-sh-2022,OS-11870-TBS22,Winter–Spring,As Needed,112
Clinic 1,LIGHTWEIGHT FABRIC FACE COVER NOT A MEDICAL MASK SINGLE USE,lightweight fabric face cover not a medical mask single use,BC-ST323,Winter–Spring,As Needed,106
Clinic 1,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe and vitamin e cornstarch powder 22oz,KEN-381371178650,Winter–Spring,As Needed,30
Clinic 1,LIGHTWEIGHT FABRIC FACE COVER NOT A MEDICAL MASK SINGLE USE,lightweight  fabric  face  cover  not  a  medical  maks  single  use,BC-ST323,Winter–Spring,As Needed,94
Clinic 1,,tooth care bundle,,Winter–Spring,As Needed,74
Clinic 1,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe and vitamin e cornstarch powder 22oz,KEN-381371178650,Winter–Spring,Ongoing,99
Clinic 1,GEHA OPEN SEASON TOOTHBRUSH 2022,geha open season tootbrsh 2022,OS-11870-TBS22,Winter–Spring,As Needed,78
Clinic 1,,tooth care bundle,,Winter–Spring,Ongoing,76
Clinic 1,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe  and  vitamin  e  cornstarch  powder  22oz,KEN-381371178650,Winter–Spring,Ongoing,119
Clinic 1,LIGHTWEIGHT FABRIC FACE COVER NOT A MEDICAL MASK SINGLE USE,lightweight-fabric-face-cover-not-a-medical-masc-single-use,BC-ST323,Winter–Spring,Ongoing,91
Clinic 1,,bulk soap set,,Winter–Spring,Ongoing,45
Clinic 1,TOOTHPASTE - INDIVIDUALLY BOXED,tootpast- individually boxed,DK-RTP27B,Winter–Spring,Ongoing,94
Clinic 1,LIGHTWEIGHT FABRIC FACE COVER NOT A MEDICAL MASK SINGLE USE,lightweight fabric face cover not a medical maks single use,BC-ST323,Winter–Spring,Ongoing,42
Clinic 1,,tooth care bundle,,Winter–Spring,Ongoing,37
Clinic 1,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe-and-vitamin-e-cornstarch-powder-22oz,KEN-381371178650,Winter–Spring,Ongoing,80
Clinic 1,LIGHTWEIGHT FABRIC FACE COVER NOT A MEDICAL MASK SINGLE USE,lightweight fabric face cover not a medical mask single use,BC-ST323,Winter–Spring,Ongoing,55
Clinic 1,,tooth care bundle,,Winter–Spring,As Needed,45
Clinic 1,,tooth care bundle,,Winter–Spring,As Needed,51
Clinic 1,,community hygiene kit,,Winter–Spring,As Needed,68
Clinic 1,TOOTHPASTE - INDIVIDUALLY BOXED,tootpaste - individually boxed,DK-RTP27B,Winter–Spring,As Needed,102
Clinic 1,TOOTHPASTE - INDIVIDUALLY BOXED,toothpste - idividually boxed,DK-RTP27B,Winter–Spring,Ongoing,103
Clinic 1,LIGHTWEIGHT FABRIC FACE COVER NOT A MEDICAL MASK SINGLE USE,lightweight fabric face cover not a medical maks single use,BC-ST323,Winter–Spring,Ongoing,61
Clinic 1,TOOTHPASTE - INDIVIDUALLY BOXED,tootpst - individually boxed,DK-RTP27B,Winter–Spring,As Needed,98
Clinic 1,,community hygiene kit,,Winter–Spring,As Needed,54
Clinic 1,LIGHTWEIGHT FABRIC FACE COVER NOT A MEDICAL MASK SINGLE USE,lightweight fabric face cover not a medical mask single use,BC-ST323,Winter–Spring,As Needed,83
Clinic 1,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe an vitamin e cornstarch powder 22oz,KEN-381371178650,Winter–Spring,As Needed,85
Clinic 1,,community hygiene kit,,Winter–Spring,As Needed,64
Clinic 1,GEHA OPEN SEASON TOOTHBRUSH 2022,geha-open-season-tootbrush-2022,OS-11870-TBS22,Winter–Spring,Ongoing,48
Clinic 1,GEHA OPEN SEASON TOOTHBRUSH 2022,geha open seaso toothbrush 2022,OS-11870-TBS22,Winter–Spring,As Needed,43
Clinic 1,TOOTHPASTE - INDIVIDUALLY BOXED,toothpaste - individually boxed,DK-RTP27B,Winter–Spring,Ongoing,110
Clinic 1,GEHA OPEN SEASON TOOTHBRUSH 2022,geha open season tootbrush 2022,OS-11870-TBS22,Winter–Spring,Ongoing,89
Clinic 1,GEHA OPEN SEASON TOOTHBRUSH 2022,geha open season tothbrush 2022,OS-11870-TBS22,Winter–Spring,Ongoing,105
