DONOR PARTNER,INBOUND DATE,ITEMIZED LIST,UNITS RECEIVED,UNIT OF MEASURE,DATE REDISTRIBUTED,OUTBOUND RECIPIENT,ITEMIZED LIST.1,UNITS DISTRIBUTED,COMMENT,DONOR
,"January 1, 2023",TOOTHPASTE - INDIVIDUALLY BOXED,,BOX,"January 18, 2023",Clinic 1,,119,,General Hospital A
,"February 22, 2023",TOOTHPASTE - INDIVIDUALLY BOXED,,RL.,"March 24, 2023",Clinic 1,,90,,City Medical Center
,"July 17, 2023",TOOTHPASTE - INDIVIDUALLY BOXED,,RL.,"July 27, 2023",Clinic 1,,112,,General Hospital A
,"June 16, 2023",TOOTHPASTE - INDIVIDUALLY BOXED,,PACK,"August 10, 2023",Clinic 1,,57,,Regional Health Org
,"November 28, 2023",TOOTHPASTE - INDIVIDUALLY BOXED,,BOX,"December 29, 2023",Clinic 1,,111,,General Hospital A
,"February 22, 2024",TOOTHPASTE - INDIVIDUALLY BOXED,,PAIR,"March 4, 2024",Clinic 1,,69,,General Hospital A
,"January 21, 2024",TOOTHPASTE - INDIVIDUALLY BOXED,,EA.,"March 16, 2024",Clinic 1,,103,,Regional Health Org
,"April 1, 2024",TOOTHPASTE - INDIVIDUALLY BOXED,,PAIR,"May 4, 2024",Clinic 1,,41,,City Medical Center
,"May 5, 2024",TOOTHPASTE - INDIVIDUALLY BOXED,,EA.,"May 26, 2024",Clinic 1,,39,,General Hospital A
,"July 22, 2024",TOOTHPASTE - INDIVIDUALLY BOXED,,BOX,"August 24, 2024",Clinic 1,,58,,City Medical Center
,"November 6, 2024",TOOTHPASTE - INDIVIDUALLY BOXED,,PACK,"November 16, 2024",Clinic 1,,52,,General Hospital A
,"January 6, 2025",TOOTHPASTE - INDIVIDUALLY BOXED,,PAIR,"February 5, 2025",Clinic 1,,61,,Regional Health Org
,"January 31, 2025",TOOTHPASTE - INDIVIDUALLY BOXED,,BOX,"February 17, 2025",Clinic 1,,37,,City Medical Center
,"February 17, 2025",TOOTHPASTE - INDIVIDUALLY BOXED,,PACK,"March 13, 2025",Clinic 1,,42,,General Hospital A
,"March 8, 2025",TOOTHPASTE - INDIVIDUALLY BOXED,,PACK,"April 24, 2025",Clinic 1,,56,,General Hospital A
,"March 27, 2025",TOOTHPASTE - INDIVIDUALLY BOXED,,PACK,"May 11, 2025",Clinic 1,,94,,City Medical Center
,"May 12, 2025",TOOTHPASTE - INDIVIDUALLY BOXED,,RL.,"June 14, 2025",Clinic 1,,84,,City Medical Center
,"September 2, 2025",TOOTHPASTE - INDIVIDUALLY BOXED,,PAIR,"September 22, 2025",Clinic 1,,119,,General Hospital A
,"January 1, 2023",ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,,PACK,"January 10, 2023",Clinic 1,,68,,Regional Health Org
,"January 12, 2023",ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,,CS.,"March 4, 2023",Clinic 1,,75,,General Hospital A
,"April 9, 2023",ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,,EA.,"April 18, 2023",Clinic 1,,95,,Regional Health Org
,"June 25, 2023",ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,,BOX,"July 18, 2023",Clinic 1,,68,,General Hospital A
,"August 27, 2023",ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,,CS.,"October 13, 2023",Clinic 1,,26,,Regional Health Org
,"December 5, 2023",ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,,PAIR,"December 18, 2023",Clinic 1,,33,,General Hospital A
,"December 29, 2023",ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,,PAIR,"January 10, 2024",Clinic 1,,68,,City Medical Center
